code,name,unit
Stkcd,证券代码,没有单位
Accper,会计期间,没有单位
Typrep,报表类型,没有单位
A001101000,货币资金,元
A0d1101101,其中:客户资金存款,元
A0d1102000,结算备付金,元
A0d1102101,其中：客户备付金,元
A0b1103000,现金及存放中央银行款项,元
A0b1104000,存放同业款项,元
A0b1105000,贵金属,元
A0f1106000,拆出资金净额,元
A001107000,交易性金融资产,元
A0f1108000,衍生金融资产,元
A001109000,短期投资净额,元
A001110000,应收票据净额,元
A001111000,应收账款净额,元
A001112000,预付款项净额,元
A0i1113000,应收保费净额,元
A0i1114000,应收分保账款净额,元
A0i1115000,应收代位追偿款净额,元
A0i1116000,应收分保合同准备金净额,元
A0i1116101,其中:应收分保未到期责任准备金净额,元
A0i1116201,其中:应收分保未决赔款准备金净额,元
A0i1116301,其中:应收分保寿险责任准备金净额,元
A0i1116401,其中:应收分保长期健康险责任准备金净额,元
A001119000,应收利息净额,元
A001120000,应收股利净额,元
A001121000,其他应收款净额,元
A0f1122000,买入返售金融资产净额,元
A001123000,存货净额,元
A001124000,一年内到期的非流动资产,元
A0d1126000,存出保证金,元
A001125000,其他流动资产,元
A001100000,流动资产合计,元
A0i1224000,保户质押贷款净额,元
A0i1225000,定期存款,元
A0b1201000,发放贷款及垫款净额,元
A001202000,可供出售金融资产净额,元
A001203000,持有至到期投资净额,元
A001204000,长期应收款净额,元
A001205000,长期股权投资净额,元
A001206000,长期债权投资净额,元
A001207000,长期投资净额,元
A0i1209000,存出资本保证金,元
A0i1210000,独立账户资产,元
A001211000,投资性房地产净额,元
A001212000,固定资产净额,元
A001213000,在建工程净额,元
A001214000,工程物资,元
A001215000,固定资产清理,元
A001216000,生产性生物资产净额,元
A001217000,油气资产净额,元
A001218000,无形资产净额,元
A0d1218101,其中:交易席位费,元
A001219000,开发支出,元
A001220000,商誉净额,元
A001221000,长期待摊费用,元
A001222000,递延所得税资产,元
A001223000,其他非流动资产,元
A001200000,非流动资产合计,元
A0f1300000,其他资产,元
A001000000,资产总计,元
A002101000,短期借款,元
A0d2101101,其中:质押借款,元
A0b2102000,向中央银行借款,元
A0b2103000,吸收存款及同业存放,元
A0b2103101,其中：同业及其他金融机构存放款项,元
A0b2103201,其中：吸收存款,元
A0f2104000,拆入资金,元
A002105000,交易性金融负债,元
A0f2106000,衍生金融负债,元
A002107000,应付票据,元
A002108000,应付账款,元
A002109000,预收款项,元
A0f2110000,卖出回购金融资产款,元
A0i2111000,应付手续费及佣金,元
A002112000,应付职工薪酬,元
A002113000,应交税费,元
A002114000,应付利息,元
A002115000,应付股利,元
A0i2116000,应付赔付款,元
A0i2117000,应付保单红利,元
A0i2118000,保户储金及投资款,元
A0i2119000,保险合同准备金,元
A0i2119101,其中:未到期责任准备金,元
A0i2119201,其中:未决赔款准备金,元
A0i2119301,其中:寿险责任准备金,元
A0i2119401,其中:长期健康险责任准备金,元
A002120000,其他应付款,元
A0i2121000,应付分保账款,元
A0d2122000,代理买卖证券款,元
A0d2123000,代理承销证券款,元
A0i2124000,预收保费,元
A002125000,一年内到期的非流动负债,元
A002126000,其他流动负债,元
A002127000,递延收益-流动负债,元
A002100000,流动负债合计,元
A002201000,长期借款,元
A0d2202000,独立账户负债,元
A002203000,应付债券,元
A002204000,长期应付款,元
A002205000,专项应付款,元
A002206000,长期负债合计,元
A002207000,预计负债,元
A002208000,递延所得税负债,元
A002209000,其他非流动负债,元
A002210000,递延收益-非流动负债,元
A002200000,非流动负债合计,元
A0f2300000,其他负债,元
A002000000,负债合计,元
A003101000,实收资本(或股本),元
A003112000,其他权益工具,元
A003112101,其中：优先股,元
A003112201,其中：永续债,元
A003112301,其中：其他,元
A003102000,资本公积,元
A003102101,其中：库存股,元
A003103000,盈余公积,元
A0f3104000,一般风险准备,元
A003105000,未分配利润,元
A003106000,外币报表折算差额,元
A003107000,未确认的投资损失,元
A0F3108000,交易风险准备,元
A0F3109000,专项储备,元
A003111000,其他综合收益,元
A003100000,归属于母公司所有者权益合计,元
A003200000,少数股东权益,元
A003000000,所有者权益合计,元
A004000000,负债与所有者权益总计,元
