code,name,unit
Stkcd,证券代码,没有单位
Accper,会计期间,没有单位
Typrep,报表类型,没有单位
C001001000,销售商品、提供劳务收到的现金,元
C0b1002000,客户存款和同业存放款项净增加额,元
C0b1003000,向中央银行借款净增加额,元
C0b1004000,向其他金融机构拆入资金净增加额,元
C0i1005000,收到原保险合同保费取得的现金,元
C0i1006000,收到再保险业务现金净额,元
C0i1007000,保户储金及投资款净增加额,元
C0d1008000,处置交易性金融资产净增加额,元
C0f1009000,收取利息、手续费及佣金的现金,元
C0d1010000,拆入资金净增加额,元
C0d1011000,回购业务资金净增加额,元
C001012000,收到的税费返还,元
C001013000,收到的其他与经营活动有关的现金,元
C001014000,购买商品、接受劳务支付的现金,元
C0b1015000,客户贷款及垫款净增加额,元
C0b1016000,存放中央银行和同业款项净增加额,元
C0i1017000,支付原保险合同赔付款项的现金,元
C0f1018000,支付利息、手续费及佣金的现金,元
C0i1019000,支付保单红利的现金,元
C001020000,支付给职工以及为职工支付的现金,元
C001021000,支付的各项税费,元
C001022000,支付其他与经营活动有关的现金,元
C001000000,经营活动产生的现金流量净额,元
C002001000,收回投资收到的现金,元
C002002000,取得投资收益收到的现金,元
C002003000,处置固定资产、无形资产和其他长期资产收回的现金净额,元
C002004000,处置子公司及其他营业单位收到的现金净额,元
C002005000,收到的其他与投资活动有关的现金,元
C002006000,购建固定资产、无形资产和其他长期资产支付的现金,元
C002007000,投资支付的现金,元
C0i2008000,质押贷款净增加额,元
C002009000,取得子公司及其他营业单位支付的现金净额,元
C002010000,支付其他与投资活动有关的现金,元
C002000000,投资活动产生的现金流量净额,元
C003008000,吸收投资收到的现金,元
C003001000,吸收权益性投资收到的现金,元
C003001101,其中：子公司吸收少数股东投资收到的现金,元
C003003000,发行债券收到的现金,元
C003002000,取得借款收到的现金,元
C003004000,收到其他与筹资活动有关的现金,元
C003005000,偿还债务支付的现金,元
C003006000,分配股利、利润或偿付利息支付的现金,元
C003006101,其中：子公司支付给少数股东的股利、利润,元
C003007000,支付其他与筹资活动有关的现金,元
C003000000,筹资活动产生的现金流量净额,元
C004000000,汇率变动对现金及现金等价物的影响,元
C007000000,其他对现金的影响,元
C005000000,现金及现金等价物净增加额,元
C005001000,期初现金及现金等价物余额,元
C006000000,期末现金及现金等价物余额,元
