code,name,unit
Stkcd,证券代码,没有单位
Accper,会计期间,没有单位
Typrep,报表类型,没有单位
D000101000,净利润,元
D000117000,未确认的投资损失,元
D000102000,资产减值准备,元
D000103000,固定资产折旧、油气资产折耗、生产性生物资产折旧,元
D000104000,无形资产摊销,元
D000105000,长期待摊费用摊销,元
D000106000,处置固定资产、无形资产和其他长期资产的损失(收益以“－”号填列）,元
D000107000,固定资产报废损失(收益以“－”号填列）,元
D000108000,公允价值变动损失(收益以“－”号填列）,元
D000109000,财务费用(收益以“－”号填列）,元
D000110000,投资损失(收益以“－”号填列）,元
D000111000,递延所得税资产减少（增加以“－”号填列）,元
D000112000,递延所得税负债增加（减少以“－”号填列）,元
D000113000,存货的减少（增加以“－”号填列）,元
D000114000,经营性应收项目的减少（增加以“－”号填列）,元
D000115000,经营性应付项目的增加（减少以“－”号填列）,元
D000116000,其他,元
D000100000,经营活动产生的现金流量净额,元
D000201000,债务转为资本,元
D000202000,一年内到期的可转换公司债券,元
D000203000,融资租赁固定资产,元
D000204000,现金的期末余额,元
D000205000,现金的期初余额,元
D000206000,现金等价物的期末余额,元
D000207000,现金等价物的期初余额,元
D000200000,现金及现金等价物净增加额,元
